Student ID,Date,Time,Paid Course(Yes/No),Email,Date sent,Payment,Payment Receipt Sent,How and where did you hear about this course?,Country,City,Gender,Age,University/College,Comp_Prog_Degree,University/College Name,Discipline of Degree,Foundational_course in DS_Eco_stat_CS,Programming languages,PW_Exp_DS_ML,Primary Reason for taking this course?,PF_Edu_R,PF_EDU_Python,PW_Exp_R,PW_Exp_Python,P_Edu_R,P_Edu_Python,LinkedIn Account,feedback/comments
64,2022-08-25,03:09:44,No,Sent,2022-08-26,Paid,Yes,Through a WhatsApp group,PAKISTAN,KARACHI,Female,31,No,Bachelors,IBA,COMPUTER SCIENCE,COMPUTER SCIENCE,PYTHON,Learner (1 Year or Less),Hands-on practical learning,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
65,2022-08-22,10:17:17,Yes,Sent,2022-08-26,Pending,No,WhatsApp,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,University of Karachi,SOFTWARE ENGINEERING,ALL OF THEM,PYTHON,Learner (1 Year or Less),For career development,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
66,2022-08-22,10:23:07,No,Sent,2022-08-27,Pending,No,I am already software engineering,PAKISTAN,KARACHI,Male,25,Yes,Bachelors,Baqai medical University,SOFTWARE ENGINEERING,DATA SCIENCE,C SHARP,Beginner (0 Years),field already software side,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,Yes
67,2022-08-22,10:50:23,No,Sent,2022-08-27,Pending,No,Through a friend,PAKISTAN,KARACHI,Male,21,Yes,Bachelors,Institute of business administration Karachi,ACCOUNTING AND FINANCE,STATISITICS,PYTHON,Beginner (0 Years),Wanna Perue a career in somewhat intersection of data science and finance,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
68,2022-08-22,11:04:34,No,Sent,2022-08-27,Pending,No,whatsapp group,PAKISTAN,KARACHI,Male,26,No,Bachelors,IQRA UNIVERSITY,SOFTWARE ENGINEERING,COMPUTER SCIENCE,.NET CORE,Intermediate (2-3 Years),IMPROVE SKILLS,Beginner (0 Years),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),NO,No comments
69,2022-08-22,11:11:44,Yes,Sent,2022-08-26,Pending,No,From my university group,PAKISTAN,KARACHI,Female,21,Yes,Bachelors,Student of Sindh madressatul Islam University,BS IN ARTIFICIAL INTELLIGENCE,DATA SCIENCE,PYTHON,Learner (1 Year or Less),To explore and to learn new thing because my aim is to become a best Data scientist,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),YES,I am very passionate about my field and right now i want this opportunity so that i can learn new things.
70,2022-08-22,11:20:03,No,Sent,2022-08-27,Pending,No,IBA,PAKISTAN,KARACHI,Female,25,No,Bachelors,IBA,ECONOMICS AND MATH,ALL OF THEM,PYTHON,Learner (1 Year or Less),To furnish the skills,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),YES,No paid
71,2022-08-22,11:26:22,Yes,Sent,2022-08-26,Pending,No,WhatsApp Job Finders Group,PAKISTAN,LAHORE,Male,23,No,Bachelors,University of Central Punjab,BSCS,COMPUTER SCIENCE,"PYTHON, JAVA, PHP, C++",Learner (1 Year or Less),Want To Explore New Things In Data Sciences,Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),YES,No comments
72,2022-08-22,11:36:49,No,Sent,2022-08-27,Pending,No,Social Media,PAKISTAN,LAHORE,Male,22,No,Bachelors,Superior University,BACHELORS IN COMPUTER SCIENCE,COMPUTER SCIENCE,JS,Beginner (0 Years),To get a good job.,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
73,2022-08-22,11:40:44,No,Sent,2022-08-27,Pending,No,Social Media,PAKISTAN,KARACHI,Female,24,No,Bachelors,NED University of Engineering and Technology,COMPUTATIONAL FINANCE,ALL OF THEM,"PYTHON, PL/SQL",Learner (1 Year or Less),Want to enhance my skillsets more towards data science,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,I wants to make my identity in data science industry by opting this opportunity.
74,2022-08-22,11:50:06,Yes,Sent,2022-08-26,Pending,No,university,PAKISTAN,KARACHI,Male,26,Yes,Bachelors,Iqra University,BSCS,DATA SCIENCE,PYTHOB,Beginner (0 Years),i have a interest,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),YES,No comments
75,2022-08-22,12:18:33,No,Sent,2022-08-27,Pending,No,On social media,PAKISTAN,KARACHI,Female,24,No,Bachelors,Iqra University,I'M VERY PUNTUAL,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),I want to learn,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),YES,No comments
76,2022-08-22,12:19:03,No,Sent,2022-08-27,Pending,No,WhatsApp group,PAKISTAN,LAHORE,Male,23,Yes,Bachelors,GCU Lahore,BS,DATA SCIENCE,C++ AND PYTHON,Beginner (0 Years),To get hands on training from professionals,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
77,2022-08-22,12:25:16,Yes,Sent,2022-08-26,Pending,No,Facebook group,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,Institute of business administration,BBA,NONE OF THEM,NONE,Beginner (0 Years),I am pursuing Actuarial Sciences and this will help later in ny career,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
78,2022-08-22,12:56:10,No,Sent,2022-08-27,Pending,No,IAM heard about this course in WhatsApp group,PAKISTAN,KARACHI,Male,20,Yes,Bachelors,Iqra University,BBA (HONOR),NONE OF THEM,NONE,Learner (1 Year or Less),IAM interested in this course,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,This course is free or paid
79,2022-08-22,13:29:01,No,Sent,2022-08-27,Pending,No,friend,PAKISTAN,KARACHI,Male,22,No,Bachelors,DHA Suffa University,COMPUTER SCIENCE,DATA SCIENCE,PYTHON,Learner (1 Year or Less),to get job,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
80,2022-08-22,13:29:19,No,Sent,2022-08-27,Pending,No,LinkedIn,PAKISTAN,KARACHI,Male,24,No,Bachelors,Iqra University EDC campus,BS(SE),ALL OF THEM,PYTHON,Beginner (0 Years),Learn something new,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,How long you take time to inform me related to the course
81,2022-08-22,13:32:24,No,Sent,2022-08-27,Pending,No,Friend,PAKISTAN,ISLAMABAD,Male,24,No,Bachelors,"Quaid-I-Azam University, Islamabad",INFORMATION TECHNOLOGY,COMPUTER SCIENCE,PYTHON,Learner (1 Year or Less),Because this is most demanded field In future,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),NO,Thanks
82,2022-08-22,13:55:52,No,Sent,2022-08-27,Pending,No,Whatsapp,PAKISTAN,LAHORE,Female,25,No,Bachelors,The Islamia University of Bahawalpur,MCS,COMPUTER SCIENCE,C#,Beginner (0 Years),"I am interested in Data Science and Machine Learning that's why, I would like to do this Course.",Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),NO,No comments
83,2022-08-22,13:56:00,No,Sent,2022-08-27,Pending,No,through whatsapp,PAKISTAN,KARACHI,Female,20,Yes,H.S.C,SSUET,BS AI,DATA SCIENCE,PYTHON JAVASCRIPT,Learner (1 Year or Less),I want to become machine learning engineer,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
84,2022-08-22,13:59:45,No,Sent,2022-08-27,Pending,No,on social media site,PAKISTAN,KARACHI,Male,21,Yes,H.S.C,SMIU,BS ARTIFICIAL INTELLIGENCE,DATA SCIENCE,PYTHON,Learner (1 Year or Less),To gain some experience,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),YES,Its a great opportunity for fresh students to familiar with data science
85,2022-08-22,14:21:52,No,Sent,2022-08-27,Pending,No,My Tutor gave me link,PAKISTAN,KARACHI,Male,21,Yes,H.S.C,Iqra University,SOFTWARE ENGINEERING,DATA SCIENCE,JAVA &  PYTHON,Beginner (0 Years),To Learn more new things,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,Hope I will learn new era things in data science
86,2022-08-22,14:46:19,No,Sent,2022-08-27,Pending,No,Social Media,PAKISTAN,LAHORE,Male,22,Yes,Masters,Quaid e Azam University,ECONOMICS,ALL OF THEM,NONE,Learner (1 Year or Less),To learn more about data science especially want to  understand how to use softwares especially Python and R.,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
87,2022-08-22,15:07:25,No,Sent,2022-08-27,Pending,No,linkedin,PAKISTAN,LAHORE,Male,21,No,Bachelors,The Islamia University of Bahawalpur,MCS,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),I want to sharp up my skills regarding Data Science and Machine Learning.,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,My addition to your software company would be beneficial for both.
88,2022-08-22,15:33:38,No,Sent,2022-08-27,Pending,No,Facebook,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,Sir syed university of Engineering Technology,SOFTWARE ENGINEERING,STATISITICS,PYTHON,Beginner (0 Years),Passion in Data science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),YES,No comments
89,2022-08-22,15:40:45,No,Sent,2022-08-27,Pending,No,Whatsapp,PAKISTAN,KARACHI,Male,20,No,H.S.C,Adamjee Government Science College,PRE-ENGINEERING,COMPUTER SCIENCE,"PYTHON,JS",Beginner (0 Years),I want to learn data science and artificial intelligence in future because Ai is future.,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,This is a great oppurtunity for the student who want to make future bright with the help of this company.
90,2022-08-22,15:44:42,No,Sent,2022-08-27,Pending,No,Social media,PAKISTAN,KARACHI,Male,22,No,Bachelors,Sir syed university of engineering and technology,SOFTWARE ENGINEERING,COMPUTER SCIENCE,"JS, JAVA",Beginner (0 Years),Hands on experience,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
91,2022-08-22,15:44:54,Yes,Sent,2022-08-26,Pending,No,Friends,PAKISTAN,KARACHI,Male,24,No,Bachelors,Sir syed university of engineering and technology,SOFTWARE ENGINEERING,ALL OF THEM,"R, PYTHON",Beginner (0 Years),Expand my experience in data science.,Intermediate (2-3 Years),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),YES,How much stipend will I get.
92,2022-08-22,15:45:38,Yes,Sent,2022-08-26,Pending,No,A friend,PAKISTAN,KARACHI,Female,22,Yes,Bachelors,Iqra University,COMPUTER SCIENCE,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),Want to learn,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
93,2022-08-22,15:46:59,No,Sent,2022-08-27,Pending,No,From a post,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,Sir Syed University,BS CE,NONE OF THEM,REACT AND JS,Beginner (0 Years),Exposure and learning,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),YES,No comments
94,2022-08-22,15:48:18,No,Sent,2022-08-27,Pending,No,LinkedIn,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,Sir Syed University Of Engineering And Technology,SOFTWARE ENGINEERING,NONE OF THEM,PYTHON,Beginner (0 Years),Want some knowledge,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
95,2022-08-22,15:53:25,No,Sent,2022-08-27,Pending,No,Whatsapp  (University Job Group),PAKISTAN,KARACHI,Male,23,Yes,Bachelors,Sir Syed University Of Engineering & Technology,SOFTWARE ENGINEERING,DATA SCIENCE,"PYTHON, SQL, R, JAVA",Intermediate (2-3 Years),"To gain practical experience, and apply machine learning/data science in different use case scenario.",Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),Intermediate (2-3 Years),YES,Yes. I am willing to dedicate my efforts to this. Regards
96,2022-08-22,15:59:22,No,Sent,2022-08-27,Pending,No,Whatsapp group,PAKISTAN,KARACHI,Male,18,Yes,H.S.C,Memon Industrial and Technical Institute,COMPUTER SCIENCE,COMPUTER SCIENCE,JAVASCRIPT,Learner (1 Year or Less),Interest in machine learning,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
97,2022-08-22,15:59:58,No,Sent,2022-08-27,Pending,No,on social media,PAKISTAN,KARACHI,Female,22,Yes,Bachelors,Sir syed University of engineering and technology,COMPUTER ENGINEERING,COMPUTER SCIENCE,PYTHON AND JAVA,Beginner (0 Years),gain experience,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,not yet
98,2022-08-22,16:09:56,Yes,Sent,2022-08-26,Maybe,No,LinkedIn,PAKISTAN,KARACHI,Male,23,No,Bachelors,Sirsyed university of engineering and technology,SOFTWARE ENGINEERING,STATISITICS,PYTHON,Beginner (0 Years),For  become proficient in data analytics and data science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
99,2022-08-22,16:11:02,No,Sent,2022-08-27,Pending,No,By my teacher,PAKISTAN,KARACHI,Male,24,Yes,Bachelors,Iqra University,BS SOFTWARE ENGINEERING (BSSE),DATA SCIENCE,PYTHON,Beginner (0 Years),To get learn about industrial projects & workflow with a team to achieve goals.,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
100,2022-08-22,16:17:28,Yes,Sent,2022-08-26,Pending,No,Social Media,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,University Of Karachi,BS SOFTWARE ENGINEERING,COMPUTER SCIENCE,"PYTHON,JS",Learner (1 Year or Less),Seeking Career in the Field of Data Science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),NO,Great Initiative as there are very less oppurtunities in the field od Data Science in Pakistan.
101,2022-08-22,16:28:54,No,Sent,2022-08-27,Pending,No,friend,PAKISTAN,KARACHI,Male,26,Yes,Bachelors,Sir Syed University,COMPUTER ENGINEERING,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),to learn machine learning,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
102,2022-08-22,16:52:13,No,Sent,2022-08-27,Pending,No,Job posting group,PAKISTAN,KARACHI,Male,25,No,Bachelors,Sir Syed University of Engineering and Technology,SOFTWARE ENGINEERING,STATISITICS,"C LANGUAGE, JAVA, PYTHON.",Beginner (0 Years),To improve my Skillset,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,None!
103,2022-08-22,17:02:35,No,Sent,2022-08-27,Pending,No,Family,PAKISTAN,HYDERABAD,Male,21,Yes,Bachelors,University of Sindh,BS STATISTICS,STATISITICS,R AND PYTHON,Beginner (0 Years),Interest,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,"I have Interest in learning about data science, machine learning and artificial intelligence.  This might be the best way to learn it with professionals and would be glad to learn from experience teachers."
104,2022-08-22,17:04:37,No,Sent,2022-08-27,Pending,No,An hour ago from a friend,PAKISTAN,KARACHI,Male,21,Yes,Bachelors,Sir Syed University of Engineering and Technology,SOFTWARE DEGREE,NONE OF THEM,JAVA,Beginner (0 Years),I am eager to learn,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,It would be great if I could enroll in this course for free
105,2022-08-22,17:27:56,Yes,Sent,2022-08-26,Pending,No,Friend suggest,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,Iqra University,ENGINEERING AND ENERGY,NONE OF THEM,PYTHON,Beginner (0 Years),Want to learn more skills and got a opportunity of internship and got lot of experience,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
106,2022-08-22,17:41:51,Yes,Sent,2022-08-26,Maybe,No,Teacher recommanded,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,Sir Syed University of Engineering and Technology,SOFTWARE ENGINEERING,COMPUTER SCIENCE,"PYTHON, JAVA, JAVASCRIPT, DART",Beginner (0 Years),Needed to learn and build good understanding of data science to pursue the career of Data Scientist.,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,Yes I greatly respect on the your efforts on teaching us young generation..
107,2022-08-22,19:48:01,Yes,Sent,2022-08-26,Pending,No,WhatsApp,PAKISTAN,KARACHI,Male,24,No,Bachelors,Sir Syed University of Engineering and Technology,COMPUTER SCIENCE,COMPUTER SCIENCE,JAVA OR JS,Beginner (0 Years),To gain knowledge,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
108,2022-08-22,20:01:48,No,Sent,2022-08-27,Pending,No,Whatsapp,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,Sur Syed University of Engineering and Technology,BS SOFTWARE ENGINEERING,ECONOMETRICS,PYTHON,Beginner (0 Years),My love for data and its application in our normal and professional life,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),NO,No comments
109,2022-08-22,21:39:42,No,Sent,2022-08-27,Pending,No,From my friend,PAKISTAN,KARACHI,Female,33,Yes,PhD,Ned university,CSIT,COMPUTER SCIENCE,"PYTHON,C#",Learner (1 Year or Less),It will help me in pursing my phd degree,Advanced (4+),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
110,2022-08-22,23:17:37,No,Sent,2022-08-27,Pending,No,WhatsApp Group,PAKISTAN,KARACHI,Male,25,No,Bachelors,SSUET,SOFTWARE  BSSE,COMPUTER SCIENCE,PYTHON,Beginner (0 Years),Build and Enhance skills and Experience in Data Science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),YES,Good Work
111,2022-08-23,00:32:31,Yes,Sent,2022-08-26,Pending,No,Whatsapp group,PAKISTAN,KARACHI,Male,23,No,Bachelors,Iqra University,SOFTWARE ENGINEERING,DATA SCIENCE,"PYTHON, JAVA",Beginner (0 Years),Want to learn more about Data Science and persuemy carrier in data science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
112,2022-08-23,00:34:51,Yes,Sent,2022-08-26,Pending,No,Whatsapp group,PAKISTAN,KARACHI,Female,22,Yes,Bachelors,Sir Syed University of Engineering and Technology,SOFTWARE ENGINEERING,STATISITICS,"JAVA, PYTHON, C",Beginner (0 Years),To gain more knowledge and broaden my horizon.,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),NO,No comments
113,2022-08-23,01:21:57,No,Sent,2022-08-27,Pending,No,Social media,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,Sir Syed University of Engineering and Technology,BS IN SOFTWARE ENGINEERING,STATISITICS,"JAVA,PYTHON ",Learner (1 Year or Less),I am willing to develop advance application,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
114,2022-08-23,01:39:25,No,Sent,2022-08-27,Pending,No,Facebook group of IBA,PAKISTAN,KARACHI,Male,25,Yes,Masters,IBA,MBA,NONE OF THEM,NONE,Beginner (0 Years),Want to learn about it.,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
115,2022-08-23,02:20:42,No,Sent,2022-08-27,Pending,No,University job guiding group,PAKISTAN,KARACHI,Female,22,Yes,Bachelors,Sir Syed University of Engineering and Technology,BACHELORS IN COMPUTER ENGINEERING,ALL OF THEM,"PYTHON, JAVA, JS, HTML, CSS",Beginner (0 Years),I just want to learn data science in a flow.,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,Currently nothing
116,2022-08-23,02:40:29,No,Sent,2022-08-27,Pending,No,SSUET Internship Group,PAKISTAN,PAKISTAN,Female,21,Yes,Bachelors,SSUET,SOFTWARE ENGINEERING,NONE OF THEM,"HTML 5, JAVA, PYTHON ",Beginner (0 Years),To learn and grow more in AI industry.,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),YES,I want this internship!
117,2022-08-23,03:08:01,No,Sent,2022-08-27,Pending,No,WhatsApp Group,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,Iqra University karachi,BBA-H,STATISITICS,PYTHON,Beginner (0 Years),To learn Data Science,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),NO,No comments
118,2022-08-23,03:54:15,No,Sent,2022-08-27,Pending,No,From University Fellows,PAKISTAN,KARACHI,Male,21,Yes,H.S.C,NED University,COMPUTER INFORMATION SYSTEMS ENGINEERING,DATA SCIENCE,PYTHON,Learner (1 Year or Less),Experience,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),NO,No comments
119,2022-08-23,03:57:58,No,Sent,2022-08-27,Pending,No,Friend,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,Iqra University,BACHELORS IN COMPUTER SCIENCE,COMPUTER SCIENCE,"JAVASCRIPT, PYTHON ",Beginner (0 Years),Interested in this field,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
120,2022-08-23,04:09:08,Yes,Sent,2022-08-26,Pending,No,Online through WhatsApp group,PAKISTAN,KARACHI,Female,22,No,Bachelors,Sir Syed University of Engineering and Technology,BACHELOR'S IN BIOINFORMATICS,ALL OF THEM,PYTHON AND LINUX,Learner (1 Year or Less),Because I have completed my bachelor's in Bioinformatics which is about data science and machine learning,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Advanced (4+),Beginner (0 Years),Learner (1 Year or Less),YES,I am interested in this training
121,2022-08-23,04:12:44,No,Sent,2022-08-27,Pending,No,Teacher,PAKISTAN,KARACHI,Female,26,No,Bachelors,Iqra University,BSCS,COMPUTER SCIENCE,JAVA,Beginner (0 Years),Interested,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,Excited
122,2022-08-23,04:29:21,No,Sent,2022-08-27,Pending,No,By friend,PAKISTAN,KARACHI,Male,25,No,H.S.C,Aptech Institute,DIPLOMA IN SOFTWARE ENGINEERING,COMPUTER SCIENCE,NONE,Beginner (0 Years),To start a career in machine learning,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),YES,No comments
123,2022-08-31,06:35:04,No,Sent,2022-08-31,Paid,No,Colleague,PAKISTAN,KARACHI,Male,25,Yes,Bachelors,IBA Karachi,ECONOMICS AND MATHEMATICS,ECONOMETRICS,NONE,Beginner (0 Years),Enter the field of data science,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),YES,No comments
124,2022-08-23,05:33:08,Yes,Sent,2022-08-24,Pending,No,Social media,PAKISTAN,KARACHI,Female,24,Yes,Masters,NED university of engineering and technology,MS DATA SCIENCE,DATA SCIENCE,PYTHON,Beginner (0 Years),To learn  and get skills and experience,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,..
125,2022-08-23,05:48:12,No,Sent,2022-08-27,Pending,No,University,PAKISTAN,KARACHI,Male,21,Yes,Bachelors,IBA,COMPUTER SCIENCE,COMPUTER SCIENCE,JAVA,Beginner (0 Years),I am interested in data sciences,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
126,2022-08-23,06:15:16,No,Sent,2022-08-27,Pending,No,Friends,PAKISTAN,KARACHI,Male,21,Yes,Bachelors,Sir Syed University of Engineering and Technology,COMPUTER ENGINEERING,ALL OF THEM,PYTHON,Beginner (0 Years),To enhance old and develop new skills and to Practice it professionally,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,I see this course as a good opportunity for beginners
127,2022-08-23,07:03:52,Yes,Sent,2022-08-24,Pending,No,IBA and LUMS Facebook page,PAKISTAN,KARACHI,Male,21,Yes,H.S.C,IBA,BBA,DATA SCIENCE,NONE,Learner (1 Year or Less),I aspire to become a data analyst and possibly a data scientist though that seems a stretch being a BBA student,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),YES,No comments
128,2022-08-23,07:11:03,No,Sent,2022-08-27,Pending,No,Linkedin,PAKISTAN,KARACHI,Male,22,Yes,Bachelors,NED-UET Karachi,SOFTWARE ENGINEERING,STATISITICS,JS,Beginner (0 Years),Learning and exploring Data Science,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
129,2022-08-23,07:35:16,No,Sent,2022-08-27,Pending,No,Friend,PAKISTAN,KARACHI,Male,25,No,Bachelors,Karachi University,MCS MASTER IN COMPUTER SCIENCE 16 YEARS EDUCATION,COMPUTER SCIENCE,JAVASCRIPT,Beginner (0 Years),Want to take a new road map for learning different categories,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),YES,No comments
